gene	n_psych_associations	psych_mapped_traits	disease_trait_labels	efo_uris	pubmed_ids	study_accessions
ANKHD1	2	bipolar I disorder; bipolar disorder	Bipolar I disorder; Bipolar disorder	http://purl.obolibrary.org/obo/MONDO_0004985; http://www.ebi.ac.uk/efo/EFO_0009963	31043756	GCST008103; GCST008115
ANKHD1-EIF4EBP3	2	bipolar I disorder; bipolar disorder	Bipolar I disorder; Bipolar disorder	http://purl.obolibrary.org/obo/MONDO_0004985; http://www.ebi.ac.uk/efo/EFO_0009963	31043756	GCST008103; GCST008115
ANKK1	4	anxiety disorder; attention deficit hyperactivity disorder, obsessive-compulsive symptom measurement, type 2 diabetes mellitus, major depressive disorder; major depressive disorder; substance-related disorder	Anxiety disorder; Major depressive disorder (broad); Substance use disorder; Type 2 diabetes and Attention deficit hiperactivty disorder or Major depressive disorder or obsessive compulsive disorder	http://purl.obolibrary.org/obo/MONDO_0002009; http://purl.obolibrary.org/obo/MONDO_0002494; http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0007802, http://purl.obolibrary.org/obo/MONDO_0005148, http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0006788	36738649; 38177345; 39294497; 41057643	GCST90328131; GCST90451690; GCST90624686; GCST90704953
ANKK1 - DRD2	2	anxiety disorder; depressive symptom measurement	Anxiety disorder; Depressive symptoms	http://www.ebi.ac.uk/efo/EFO_0006788; http://www.ebi.ac.uk/efo/EFO_0007006	30643256; 37945807	GCST007340; GCST90446654
ANKLE2	1	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	35396580	GCST90128471
ANKRD11	1	obsessive-compulsive symptom measurement	Obsessive-compulsive symptoms	http://www.ebi.ac.uk/efo/EFO_0007802	38548983	GCST90429008
ANKRD19P	2	kynurenine:tryptophan ratio	Plasma kynurenine to tryptophan ratio in major depressive disorder	http://www.ebi.ac.uk/efo/EFO_0008530	29317604	GCST005343
ANKRD20A18P	1	lifestyle measurement, anxiety disorder measurement	Anxiety severity x playing computer games interaction	http://www.ebi.ac.uk/efo/EFO_0010724, http://www.ebi.ac.uk/efo/EFO_0007795	34877740	GCST90101757
ANKRD23	3	bipolar I disorder; bipolar disorder, Crohn's disease; schizophrenia	Bipolar I disorder; Bipolar disorder or Crohn's disease (MTAG); Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0004985, http://www.ebi.ac.uk/efo/EFO_0000384; http://purl.obolibrary.org/obo/MONDO_0005090; http://www.ebi.ac.uk/efo/EFO_0009963	26198764; 31043756; 38154582	GCST003048; GCST008115; GCST90454588
ANKRD27	3	major depressive disorder; schizophrenia	Major depressive disorder; Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0002009; http://purl.obolibrary.org/obo/MONDO_0005090	23377640; 28991256; 35396580	GCST001850; GCST004946; GCST90128471
ANKRD30BP1	1	response to trauma exposure	Trauma exposure in major depressive disorder-negative individuals	http://www.ebi.ac.uk/efo/EFO_0008483	31969693	GCST009984
ANKRD31 - HMGCR	1	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	35396580	GCST90128471
ANKRD36	1	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	26198764	GCST003048
ANKRD36P2	1	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	22885689	GCST001657
ANKRD44	2	age at onset, alcohol dependence; schizophrenia	Alcohol dependence (age at onset); Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090; http://www.ebi.ac.uk/efo/EFO_0004847, http://purl.obolibrary.org/obo/MONDO_0007079	24962325; 35396580	GCST002477; GCST90128471
ANKRD44-DT	1	schizophrenia, anorexia nervosa	Schizophrenia vs anorexia nervosa (ordinary least squares (OLS))	http://purl.obolibrary.org/obo/MONDO_0005090, http://purl.obolibrary.org/obo/MONDO_0005351	33686288	GCST90016619
ANKRD44-DT - NPM1P46	1	alcohol dependence, major depressive disorder	Major depression and alcohol dependence	http://purl.obolibrary.org/obo/MONDO_0007079, http://purl.obolibrary.org/obo/MONDO_0002009	29071344	GCST005022
ANKRD44-IT1	1	age at onset, alcohol dependence	Alcohol dependence (age at onset)	http://www.ebi.ac.uk/efo/EFO_0004847, http://purl.obolibrary.org/obo/MONDO_0007079	24962325	GCST002477
ANKRD45	1	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	35396580	GCST90128471
ANKRD45 - KLHL20	1	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	31740837	GCST009337
ANKRD55	1	post-traumatic stress disorder	Post-traumatic stress disorder	http://www.ebi.ac.uk/efo/EFO_0001358	27167565	GCST003495
ANKRD6	1	bipolar disorder	Bipolar disorder	http://purl.obolibrary.org/obo/MONDO_0004985	25827505	GCST002809
ANKS1A	2	alcohol dependence	Alcoholism (alcohol dependence factor score); Alcoholism (alcohol use disorder factor score)	http://purl.obolibrary.org/obo/MONDO_0007079	21529783	GCST001053; GCST001054
ANKS1B	19	alcohol dependence, heroin dependence, methamphetamine dependence; attention deficit hyperactivity disorder, bipolar disorder, autism spectrum disorder, schizophrenia, major depressive disorder; bipolar I disorder; bipolar disorder; generalized anxiety disorder, social risk factor; mental or behavioural disorder; obsessive-compulsive disorder, attention deficit hyperactivity disorder, Tourette syndrome, bipolar disorder, autism spectrum disorder, schizophrenia, anorexia nervosa, major depressive disorder; response to olanzapine; response to trauma exposure; schizophrenia; short-term memory	Alcohol dependence or heroin dependence or methamphetamine dependence; Anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy); Autism spectrum disorder, attention deficit-hyperactivity disorder, bipolar disorder, major depressive disorder, and schizophrenia (combined); Bipolar I disorder; Bipolar disorder; Bipolar disorder (MTAG); GAD score x Polysocial risk score (PsRS) interaction; Psychogenic disorder (PheCode 303.3); Response to antipsychotic treatment; Response to antipsychotic treatment in schizophrenia (working memory); Schizophrenia; Schizophrenia (MTAG); Trauma exposure in major depressive disorder-negative individuals	http://purl.obolibrary.org/obo/GO_0097333; http://purl.obolibrary.org/obo/MONDO_0004985; http://purl.obolibrary.org/obo/MONDO_0005090; http://purl.obolibrary.org/obo/MONDO_0007079, http://www.ebi.ac.uk/efo/EFO_0004240, http://www.ebi.ac.uk/efo/EFO_0004701; http://www.ebi.ac.uk/efo/EFO_0000677; http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0004985, http://www.ebi.ac.uk/efo/EFO_0003756, http://purl.obolibrary.org/obo/MONDO_0005090, http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0004242, http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0004895, http://purl.obolibrary.org/obo/MONDO_0004985, http://www.ebi.ac.uk/efo/EFO_0003756, http://purl.obolibrary.org/obo/MONDO_0005090, http://purl.obolibrary.org/obo/MONDO_0005351, http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0004335; http://www.ebi.ac.uk/efo/EFO_0008483; http://www.ebi.ac.uk/efo/EFO_0009963; http://www.ebi.ac.uk/efo/EFO_1001892, http://www.ebi.ac.uk/efo/EFO_0022923	19721433; 21107309; 23453885; 26198764; 31043756; 31462767; 31835028; 31969693; 32606422; 33479212; 34159505; 35396580; 38063329; 39024449; 39753749	GCST000473; GCST000883; GCST001877; GCST003048; GCST008103; GCST008115; GCST008645; GCST009600; GCST009984; GCST010640; GCST010641; GCST012091; GCST90020094; GCST90020095; GCST90128471; GCST90451693; GCST90480759; GCST90503210
ANKUB1	1	social inhibition quality, attention deficit hyperactivity disorder, substance abuse	Externalizing behaviour (multivariate analysis)	http://purl.obolibrary.org/obo/OBA_1000278, http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0002491	34446935	GCST90061435
ANO10	5	attention deficit hyperactivity disorder; attention deficit hyperactivity disorder, risk-taking behaviour; major depressive disorder; post-traumatic stress disorder	Attention deficit hyperactivity disorder; Attention deficit hyperactivity disorder or risk-taking behavior (pleiotropy); Depression; Post-traumatic stress disorder	http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0001358; http://www.ebi.ac.uk/efo/EFO_0003888; http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0008579	36702997; 37464041; 38565336; 38637617	GCST90269774; GCST90319327; GCST90429151; GCST90627735; GCST90627736
ANO2	1	panic disorder	Panic disorder	http://www.ebi.ac.uk/efo/EFO_0004262	19165232	GCST000320
ANO3	1	attention deficit hyperactivity disorder	Attention deficit hyperactivity disorder	http://www.ebi.ac.uk/efo/EFO_0003888	30563984	GCST006916
ANO4	5	attention deficit hyperactivity disorder; neuroticism measurement, major depressive disorder; social inhibition quality, attention deficit hyperactivity disorder, substance abuse; trait in response to paliperidone, schizophrenia symptom severity measurement	Attention deficit hyperactivity disorder (hyperactivity-impulsivity symptoms); Externalizing behaviour (multivariate analysis); Response to paliperidone in schizophrenia (CGI-S score); Stress sensitivity (neuroticism score x major depressive disorder status interaction)	http://purl.obolibrary.org/obo/OBA_1000278, http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0002491; http://purl.obolibrary.org/obo/OBA_2040132, http://www.ebi.ac.uk/efo/EFO_0007927; http://www.ebi.ac.uk/efo/EFO_0003888; http://www.ebi.ac.uk/efo/EFO_0007660, http://purl.obolibrary.org/obo/MONDO_0002009	27846195; 30571770; 32595297; 34446935	GCST004039; GCST008508; GCST010220; GCST90061435
ANO5	3	attention function measurement; depressive symptom measurement; schizophrenia	Attention function in attention deficit hyperactive disorder; Depressive symptoms; Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090; http://www.ebi.ac.uk/efo/EFO_0007006; http://www.ebi.ac.uk/efo/EFO_0007636	26174813; 30718454; 35396580	GCST003025; GCST90128471; GCST90461918
ANO8	1	major depressive disorder	Major depressive disorder	http://purl.obolibrary.org/obo/MONDO_0002009	27777418	GCST005547
ANTXR1	1	sleep quality	Sleep disturbance (decreased sleep) in depressive disorders	http://purl.obolibrary.org/obo/OBA_2040170	32399468	GCST90085923
ANTXR2	1	bipolar disorder, HSV1 seropositivity	Bipolar disorder (inflammation and infection response interaction)	http://purl.obolibrary.org/obo/MONDO_0004985, http://www.ebi.ac.uk/efo/EFO_0007050	25781172	GCST002815
ANTXR2 - RPSAP39	1	exploratory eye movement measurement	Exploratory eye movement dysfunction in schizophrenia (cognitive search score)	http://www.ebi.ac.uk/efo/EFO_0007700	26242244	GCST003064
ANXA1	1	bipolar disorder, mental or behavioural disorder, major depressive disorder	Schizophrenia, bipolar disorder and depression (combined)	http://purl.obolibrary.org/obo/MONDO_0004985, http://www.ebi.ac.uk/efo/EFO_0000677, http://purl.obolibrary.org/obo/MONDO_0002009	20713499	GCST000774
ANXA10	1	age of onset of depressive disorder, wellbeing measurement	Age of onset of depression x felt loved as a child interaction	http://purl.obolibrary.org/obo/OBA_2040166, http://www.ebi.ac.uk/efo/EFO_0007869	35879288	GCST90132316
ANXA2R-AS1	2	attention deficit hyperactivity disorder; attention deficit hyperactivity disorder, Cannabis use	Attention deficit hyperactivity disorder; Attention deficit hyperactivity disorder or cannabis use	http://www.ebi.ac.uk/efo/EFO_0003888; http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0007585	29325848; 30610198	GCST005362; GCST006983
ANXA2R-OT1	3	attention deficit hyperactivity disorder; attention deficit hyperactivity disorder, Cannabis use; longitudinal BMI measurement, trait in response to amisulpride	Attention deficit hyperactivity disorder; Attention deficit hyperactivity disorder or cannabis use; Weight gain in amisulpride-treated first-episode psychosis	http://www.ebi.ac.uk/efo/EFO_0003888; http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0007585; http://www.ebi.ac.uk/efo/EFO_0005937, http://purl.obolibrary.org/obo/OBA_2040105	29325848; 30610198; 32126890	GCST005362; GCST006983; GCST010007
ANXA9	1	autism spectrum disorder	Autism spectrum disorder	http://www.ebi.ac.uk/efo/EFO_0003756	35215271	GCST012816
AOPEP	1	suicide ideation measurement	Suicide related phenotype (feeling that the life was not worth living) in bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0007619	34680877	GCST90085904
AOX3P	1	alcohol dependence	Alcohol dependence	http://purl.obolibrary.org/obo/MONDO_0007079	26365420	GCST003121
AOX3P-AOX2P	1	alcohol dependence	Alcohol dependence	http://purl.obolibrary.org/obo/MONDO_0007079	26365420	GCST003121
AP1S1	1	social inhibition quality, attention deficit hyperactivity disorder, substance abuse	Externalizing behaviour (multivariate analysis)	http://purl.obolibrary.org/obo/OBA_1000278, http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0002491	34446935	GCST90061435
AP2B1	1	schizophrenia, intelligence, self reported educational attainment	Cognitive ability, years of educational attainment or schizophrenia (pleiotropy)	http://purl.obolibrary.org/obo/MONDO_0005090, http://www.ebi.ac.uk/efo/EFO_0004337, http://www.ebi.ac.uk/efo/EFO_0004784	31374203	GCST008595
AP2M1	1	schizophrenia, supramarginal gyrus volume	Hypoactivation for right supramarginal gyrus x schizophrenia diagnosis interaction	http://purl.obolibrary.org/obo/MONDO_0005090, http://purl.obolibrary.org/obo/OBA_2050030	37690161	GCST90428043
AP3B1	1	major depressive disorder	Depression	http://purl.obolibrary.org/obo/MONDO_0002009	37464041	GCST90319327
AP3B2	2	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	35396580; 39753749	GCST90128471; GCST90503210
AP3D1	2	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	35396580; 39753749	GCST90128471; GCST90503210
AP3S2	1	schizophrenia, type 2 diabetes mellitus	Type 2 diabetes and schyzophrenia	http://purl.obolibrary.org/obo/MONDO_0005090, http://purl.obolibrary.org/obo/MONDO_0005148	36738649	GCST90624670
AP4S1	1	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	35396580	GCST90128471
APBA1	3	schizophrenia; schizophrenia, intelligence, self reported educational attainment	Cognitive ability, years of educational attainment or schizophrenia (pleiotropy); Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090; http://purl.obolibrary.org/obo/MONDO_0005090, http://www.ebi.ac.uk/efo/EFO_0004337, http://www.ebi.ac.uk/efo/EFO_0004784	26198764; 31374203; 35396580	GCST003048; GCST008595; GCST90128471
APBB2	1	trait in response to escitalopram, trait in response to citalopram	Response to citalopram or escitalopram in depression	http://purl.obolibrary.org/obo/OBA_2040055, http://purl.obolibrary.org/obo/OBA_2040057	27622933	GCST003802
APOA5	2	depressive symptom measurement, non-high density lipoprotein cholesterol measurement; triglyceride measurement, response to antipsychotic drug	HDL x depression interaction (2df test); Triglycerides level in antipsychotic-treated schizophrenia (6-week)	http://www.ebi.ac.uk/efo/EFO_0004530, http://purl.obolibrary.org/obo/GO_0097332; http://www.ebi.ac.uk/efo/EFO_0007006, http://www.ebi.ac.uk/efo/EFO_0005689	38336841; 40537477	GCST90454535; GCST90570659
APOB	7	anxiety measurement, triglyceride measurement; depressive symptom measurement, non-high density lipoprotein cholesterol measurement; triglyceride measurement, depressive symptom measurement	HDL x depression interaction (2df test); HDL x low social support interaction (2df test); Triglycerides x anxiety interaction (2df test); Triglycerides x depression interaction (2df test)	http://www.ebi.ac.uk/efo/EFO_0004530, http://www.ebi.ac.uk/efo/EFO_0007006; http://www.ebi.ac.uk/efo/EFO_0007006, http://www.ebi.ac.uk/efo/EFO_0005689; http://www.ebi.ac.uk/efo/EFO_0009863, http://www.ebi.ac.uk/efo/EFO_0004530	40537477	GCST90570667; GCST90570677; GCST90570679; GCST90570697; GCST90570699; GCST90570707; GCST90570709
APOB - TDRD15	4	anxiety measurement, low density lipoprotein cholesterol measurement; depressive symptom measurement, low density lipoprotein cholesterol measurement	LDL x anxiety interaction (2df test); LDL x depression interaction (2df test)	http://www.ebi.ac.uk/efo/EFO_0007006, http://www.ebi.ac.uk/efo/EFO_0004611; http://www.ebi.ac.uk/efo/EFO_0009863, http://www.ebi.ac.uk/efo/EFO_0004611	40537477	GCST90570671; GCST90570673; GCST90570701; GCST90570703
APOBEC3F	1	low density lipoprotein cholesterol measurement, response to antipsychotic drug	LDL-cholesterol level in antipsychotic-treated schizophrenia (6-week)	http://www.ebi.ac.uk/efo/EFO_0004611, http://purl.obolibrary.org/obo/GO_0097332	38336841	GCST90454533
APOC1	5	anxiety measurement, non-high density lipoprotein cholesterol measurement; anxiety measurement, triglyceride measurement; triglyceride measurement, depressive symptom measurement	HDL x anxiety interaction (2df test); Triglycerides x anxiety interaction (2df test); Triglycerides x depression interaction (2df test)	http://www.ebi.ac.uk/efo/EFO_0004530, http://www.ebi.ac.uk/efo/EFO_0007006; http://www.ebi.ac.uk/efo/EFO_0009863, http://www.ebi.ac.uk/efo/EFO_0004530; http://www.ebi.ac.uk/efo/EFO_0009863, http://www.ebi.ac.uk/efo/EFO_0005689	40537477	GCST90570655; GCST90570657; GCST90570665; GCST90570679; GCST90570695
APOE	16	anxiety measurement, low density lipoprotein cholesterol measurement; depressive symptom measurement, low density lipoprotein cholesterol measurement; depressive symptom measurement, non-high density lipoprotein cholesterol measurement; mental or behavioural disorder	Altered mental status (PheCode 292.4); HDL x depression interaction (2df test); HDL x low social support interaction (2df test); LDL x anxiety interaction (2df test); LDL x depression interaction (2df test); Other persistent mental disorders due to conditions classified elsewhere (PheCode 290.3)	http://www.ebi.ac.uk/efo/EFO_0000677; http://www.ebi.ac.uk/efo/EFO_0007006, http://www.ebi.ac.uk/efo/EFO_0004611; http://www.ebi.ac.uk/efo/EFO_0007006, http://www.ebi.ac.uk/efo/EFO_0005689; http://www.ebi.ac.uk/efo/EFO_0009863, http://www.ebi.ac.uk/efo/EFO_0004611	39024449; 40537477	GCST90476504; GCST90476509; GCST90480736; GCST90480744; GCST90570651; GCST90570653; GCST90570661; GCST90570667; GCST90570669; GCST90570673; GCST90570683; GCST90570687; GCST90570697; GCST90570699; GCST90570701; GCST90570703
APOE - APOC1	1	anxiety measurement, low density lipoprotein cholesterol measurement	LDL x anxiety interaction (2df test)	http://www.ebi.ac.uk/efo/EFO_0009863, http://www.ebi.ac.uk/efo/EFO_0004611	40537477	GCST90570671
APOL5	1	lifestyle measurement, anxiety disorder measurement	Anxiety severity x hours spent using computers interaction	http://www.ebi.ac.uk/efo/EFO_0010724, http://www.ebi.ac.uk/efo/EFO_0007795	34877740	GCST90101753
APPL1	1	major depressive disorder	Depression	http://purl.obolibrary.org/obo/MONDO_0002009	34586374	GCST90058034
APTX	1	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	35396580	GCST90128471
AQP4-AS1	2	generalized anxiety disorder, social risk factor; major depressive disorder	GAD score x Polysocial risk score (PsRS) interaction; Severe depressive disorders in coronary artery disease	http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_1001892, http://www.ebi.ac.uk/efo/EFO_0022923	30563176; 38063329	GCST007230; GCST90451693
AQP7 - AQP3	1	major depressive disorder	Major depressive disorder	http://purl.obolibrary.org/obo/MONDO_0002009	29317602	GCST005231
ARAP1	1	alcohol dependence measurement	Alcohol dependence symptom count	http://www.ebi.ac.uk/efo/EFO_0007835	29460428	GCST005440
ARAP2	1	insomnia, response to selective serotonin reuptake inhibitor	SSRI response to insomnia syndromal factor measured by HAM-D-21 in major depressive disorder	http://www.ebi.ac.uk/efo/EFO_0004698, http://www.ebi.ac.uk/efo/EFO_0005658	36658263	GCST90270297
ARAP3 - PCDH1	2	major depressive disorder; suicide behaviour measurement	Major depressive disorder; Suicide behaviour in bipolar I disorder	http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0006882	23377640; 38491344	GCST001850; GCST90570642
ARB2A	10	bipolar disorder, major depressive disorder; depressive symptom measurement; major depressive disorder; major depressive episode, attention deficit hyperactivity disorder, anorexia nervosa, obesity	Bipolar disorder or major depressive disorder; Depression; Depressive symptoms; Major depressive disorder; Major depressive disorder (MTAG); Major depressive disorder (broad); Obesity class II and Attention deficit hyperactivity disorder or Anorexia nervosa or Major depressive disorder	http://purl.obolibrary.org/obo/MONDO_0002009; http://purl.obolibrary.org/obo/MONDO_0004985, http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0007006; http://www.ebi.ac.uk/efo/EFO_0007634, http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0005351, http://www.ebi.ac.uk/efo/EFO_0001073	30643256; 30718901; 31926635; 33479212; 34045744; 34586374; 34924174; 36137488; 37464041; 38177345	GCST007340; GCST007342; GCST010416; GCST012090; GCST90020227; GCST90058037; GCST90239706; GCST90319327; GCST90328131; GCST90624560
ARB2BP - TRMT10C	2	major depressive disorder	Depression; Major depressive disorder (broad)	http://purl.obolibrary.org/obo/MONDO_0002009	34924174; 38177345	GCST90239706; GCST90328131
ARC - JRK	1	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	26198764	GCST003048
AREL1	13	Anxiety; bipolar disorder, major depressive disorder; depressive symptom measurement; major depressive disorder; mood disorder, major depressive disorder; stroke, major depressive disorder	Bipolar disorder or major depressive disorder; Depressed affect; Depression; Depressive symptoms; Major depressive disorder; Major depressive disorder (MTAG); Major depressive disorder (broad); Major depressive disorder or stroke (pleiotropy); Worry	http://purl.obolibrary.org/obo/HP_0000739; http://purl.obolibrary.org/obo/MONDO_0002009; http://purl.obolibrary.org/obo/MONDO_0004985, http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0000712, http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0004247, http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0007006	29942085; 30643256; 30718901; 31926635; 33479212; 34045744; 34586374; 34859065; 34924174; 37464041; 38177345	GCST006475; GCST006478; GCST007340; GCST007342; GCST010416; GCST012090; GCST90020227; GCST90058037; GCST90095484; GCST90239706; GCST90319327; GCST90328131
ARF1P1 - PPP1R9A	1	triglyceride change measurement, response to antipsychotic drug	Antipsychotic-induced triglycerides change in schizophrenia (6-week)	http://www.ebi.ac.uk/efo/EFO_0007681, http://purl.obolibrary.org/obo/GO_0097332	38336841	GCST90454534
ARF4P1 - WDR5-DT	2	substance-related disorder	Substance use disorder	http://purl.obolibrary.org/obo/MONDO_0002494	41057643	GCST90704949; GCST90704952
ARFGAP2	2	mood disorder, major depressive disorder	Depressed affect	http://www.ebi.ac.uk/efo/EFO_0004247, http://purl.obolibrary.org/obo/MONDO_0002009	29942085	GCST006475
ARFGEF1-DT	1	cognitive function measurement, major depressive disorder	Cognitive function (global cognition) x major depressive disorder interaction (2df)	http://www.ebi.ac.uk/efo/EFO_0008354, http://purl.obolibrary.org/obo/MONDO_0002009	34782712	GCST90096941
ARFGEF2	4	attention deficit hyperactivity disorder, autism spectrum disorder, intelligence; major depressive disorder	Attention deficit hyperactivity disorder or autism spectrum disorder or intelligence (pleiotropy); Major depressive disorder; Major depressive disorder (broad)	http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0003756, http://www.ebi.ac.uk/efo/EFO_0004337	34045744; 35764056; 38177345	GCST90020227; GCST90134330; GCST90328131
ARHGAP1	2	schizophrenia; schizophrenia, type 2 diabetes mellitus	Schizophrenia; Type 2 diabetes or schizophrenia (pleiotropy)	http://purl.obolibrary.org/obo/MONDO_0005090; http://purl.obolibrary.org/obo/MONDO_0005090, http://purl.obolibrary.org/obo/MONDO_0005148	31740837; 36329495	GCST009337; GCST90244709
ARHGAP15	18	age at onset, major depressive disorder; anxiety disorder; attention deficit hyperactivity disorder, autism spectrum disorder, intelligence; bipolar disorder, major depressive disorder; major depressive disorder; mood disorder, major depressive disorder; post-traumatic stress disorder; schizophrenia, intelligence, self reported educational attainment; social inhibition quality, attention deficit hyperactivity disorder, substance abuse; substance-related disorder	Anxiety disorder; Attention deficit hyperactivity disorder or autism spectrum disorder or intelligence (pleiotropy); Bipolar disorder or major depressive disorder; Cognitive ability, years of educational attainment or schizophrenia (pleiotropy); Depressed affect; Depression; Depression (age of onset); Externalizing behaviour (multivariate analysis); Post-traumatic stress disorder; Substance use disorder	http://purl.obolibrary.org/obo/MONDO_0002009; http://purl.obolibrary.org/obo/MONDO_0002494; http://purl.obolibrary.org/obo/MONDO_0004985, http://purl.obolibrary.org/obo/MONDO_0002009; http://purl.obolibrary.org/obo/MONDO_0005090, http://www.ebi.ac.uk/efo/EFO_0004337, http://www.ebi.ac.uk/efo/EFO_0004784; http://purl.obolibrary.org/obo/OBA_1000278, http://www.ebi.ac.uk/efo/EFO_0003888, http://purl.obolibrary.org/obo/MONDO_0002491; http://www.ebi.ac.uk/efo/EFO_0001358; http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0003756, http://www.ebi.ac.uk/efo/EFO_0004337; http://www.ebi.ac.uk/efo/EFO_0004247, http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0004847, http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0006788	29942085; 31374203; 31926635; 34446935; 35330412; 35764056; 37464041; 38637617; 39294497; 41057643	GCST006475; GCST008595; GCST010416; GCST90061435; GCST90104443; GCST90134330; GCST90319327; GCST90451690; GCST90627735; GCST90627736; GCST90704949; GCST90704952
ARHGAP15-AS1	1	age at onset, major depressive disorder	Depression (age of onset)	http://www.ebi.ac.uk/efo/EFO_0004847, http://purl.obolibrary.org/obo/MONDO_0002009	35330412	GCST90104443
ARHGAP18	1	schizophrenia	Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090	35396580	GCST90128471
ARHGAP19	1	attention deficit hyperactivity disorder, obsessive-compulsive symptom measurement, type 2 diabetes mellitus, major depressive disorder	Type 2 diabetes and Attention deficit hiperactivty disorder or Major depressive disorder or obsessive compulsive disorder	http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0007802, http://purl.obolibrary.org/obo/MONDO_0005148, http://purl.obolibrary.org/obo/MONDO_0002009	36738649	GCST90624686
ARHGAP19-SLIT1	2	attention deficit hyperactivity disorder, obsessive-compulsive symptom measurement, type 2 diabetes mellitus, major depressive disorder; attention deficit hyperactivity disorder, risk-taking behaviour	Attention deficit hyperactivity disorder or risk-taking behavior (pleiotropy); Type 2 diabetes and Attention deficit hiperactivty disorder or Major depressive disorder or obsessive compulsive disorder	http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0007802, http://purl.obolibrary.org/obo/MONDO_0005148, http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0008579	36738649; 38565336	GCST90429151; GCST90624686
ARHGAP21 - PRTFDC1	1	alcohol dependence measurement	Alcohol dependence symptom count	http://www.ebi.ac.uk/efo/EFO_0007835	29460428	GCST005440
ARHGAP22	1	conduct disorder	Conduct disorder	http://www.ebi.ac.uk/efo/EFO_0004216	20585324	GCST000714
