gene	n_psych_associations	psych_mapped_traits	disease_trait_labels	efo_uris	pubmed_ids	study_accessions
LINC01909 - LARP7P3	1	treatment resistant depression, response to antidepressant	Treatment resistant depression	http://www.ebi.ac.uk/efo/EFO_0009854, http://purl.obolibrary.org/obo/GO_0036276	30468137	GCST007667
LINC01911	5	obsessive-compulsive disorder; schizophrenia	Neurocognitive measure (immediate recall) in obsessive-compulsive disorder; Schizophrenia	http://purl.obolibrary.org/obo/MONDO_0005090; http://www.ebi.ac.uk/efo/EFO_0004242	26198764; 28991256; 30285260; 37094658	GCST003048; GCST004946; GCST007201; GCST90277980
LINC01911 - RNU6-692P	3	schizophrenia; substance-related disorder	Schizophrenia; Substance use disorder	http://purl.obolibrary.org/obo/MONDO_0002494; http://purl.obolibrary.org/obo/MONDO_0005090	35396580; 41057643	GCST90128471; GCST90704949
LINC01912 - AKR1B10P2	1	depressive symptom measurement, response to selective serotonin reuptake inhibitor	SSRI response to psychomotor-insight syndromal factor measured by HAM-D-21 in major depressive disorder	http://www.ebi.ac.uk/efo/EFO_0007006, http://www.ebi.ac.uk/efo/EFO_0005658	36658263	GCST90270299
LINC01915 - LINC01894	1	depressive symptom measurement	Psychological distress	http://www.ebi.ac.uk/efo/EFO_0007006	30705256	GCST007297
LINC01918 - GPR45	1	major depressive disorder	Depression in smokers	http://purl.obolibrary.org/obo/MONDO_0002009	30219690	GCST006427
LINC01919 - MBD2	1	bipolar disorder, inflammatory bowel disease	Bipolar disorder or inflammatory bowel disease (MTAG)	http://purl.obolibrary.org/obo/MONDO_0004985, http://www.ebi.ac.uk/efo/EFO_0003767	38154582	GCST90454586
LINC01923	1	aggressive behavior quality, ADHD symptom measurement	Disruptive behavior (multivariate analysis)	http://purl.obolibrary.org/obo/OBA_1000376, http://www.ebi.ac.uk/efo/EFO_0007860	36324656	GCST90239692
LINC01924	3	low density lipoprotein cholesterol measurement, response to antipsychotic drug; nervousness, generalized anxiety disorder; nervousness, generalized anxiety disorder, major depressive disorder	GAD-7 and PHQ-9 factor nervousness; GAD-7 factor nervousness; LDL-cholesterol level in antipsychotic-treated schizophrenia (6-week)	http://purl.obolibrary.org/obo/NCIT_C74532, http://www.ebi.ac.uk/efo/EFO_1001892; http://purl.obolibrary.org/obo/NCIT_C74532, http://www.ebi.ac.uk/efo/EFO_1001892, http://purl.obolibrary.org/obo/MONDO_0002009; http://www.ebi.ac.uk/efo/EFO_0004611, http://purl.obolibrary.org/obo/GO_0097332	37164147; 38336841	GCST90292532; GCST90292533; GCST90454533
LINC01924 - LINC01916	2	Anorexia, response to selective serotonin reuptake inhibitor; major depressive disorder	Depression in smokers; SSRI response to anorexia syndromal factor measured by HAM-D-21 in major depressive disorder	http://purl.obolibrary.org/obo/HP_0002039, http://www.ebi.ac.uk/efo/EFO_0005658; http://purl.obolibrary.org/obo/MONDO_0002009	30219690; 36658263	GCST006427; GCST90270300
LINC01925 - CETN1	4	Anxiety; smoking behavior trait, Anxiety	Anxiety; Anxiety x maternal smoking during pregnancy interaction	http://purl.obolibrary.org/obo/HP_0000739; http://purl.obolibrary.org/obo/OBA_2050116, http://purl.obolibrary.org/obo/HP_0000739	34118634	GCST012447; GCST012449
LINC01926 - ZNF532	1	alcohol dependence	Alcohol dependence (codominant genetic model)	http://purl.obolibrary.org/obo/MONDO_0007079	36551763	GCST90245782
